Date,Species,Trap,AddressNumberAndStreet,Latitude,Longitude,NumMosquitos,WnvPresent,WnvRisk_very low,WnvRisk_low,WnvRisk_medium,WnvRisk_high
2007-05-29,CULEX PIPIENS/RESTUANS,T002,4100  N OAK PARK AVE,41.95469,-87.800991,1.0,0.0,False,False,False,True
2007-06-05,CULEX RESTUANS,T007,6200  N MANDELL AVE,41.994991,-87.769279,4.0,1.0,True,True,True,False
2007-06-26,CULEX PIPIENS,T015,7900  W FOSTER AVE,41.974089,-87.824812,2.0,,,,,
2007-06-29,CULEX SALINARIUS,T045,1500  W WEBSTER AVE,41.9216,-87.666455,3.0,,,,,
2007-07-02,CULEX TERRITANS,T046,2500  W GRAND AVE,41.891118,-87.654491,5.0,,,,,
2007-07-11,CULEX TARSALIS,T048,1100  W ROOSEVELT,41.867108,-87.654224,9.0,,,,,
2007-07-18,CULEX ERRATICUS,T049,1100  W CHICAGO,41.896282,-87.655232,7.0,,,,,
2007-07-19,,T050,2100  N STAVE ST,41.919343,-87.694259,10.0,,,,,
2007-07-25,,T054,2200  N CANNON DR,41.921965,-87.632085,8.0,,,,,
2007-07-27,,T086,2200  W 113TH ST,41.688324,-87.676709,6.0,,,,,
2007-08-01,,T091,1100  S PEORIA ST,41.862292,-87.64886,19.0,,,,,
2007-08-02,,T094,1700  W 95TH ST,41.720848,-87.666014,20.0,,,,,
2007-08-03,,T096,2200  W 89TH ST,41.731922,-87.677512,25.0,,,,,
2007-08-07,,T129,5300  N STREETER DR,41.891126,-87.61156,16.0,,,,,
2007-08-08,,T143,6500  N OAK PARK AVE,41.999129,-87.795585,11.0,,,,,
2007-08-09,,T148,7500  N OAKLEY AVE,42.01743,-87.687769,12.0,,,,,
2007-08-15,,T153,1500  N LONG AVE,41.907645,-87.760886,28.0,,,,,
2007-08-16,,T159,8900  S CARPENTER ST,41.732984,-87.649642,18.0,,,,,
2007-08-17,,T009,9100  W HIGGINS AVE,41.981964,-87.812827,50.0,,,,,
2007-08-21,,T011,3600  N PITTSBURGH AVE,41.944869,-87.832763,35.0,,,,,
2007-08-22,,T016,7200  N OKETO AVE,42.011601,-87.811506,14.0,,,,,
2007-08-24,,T019,3800  N CALIFORNIA AVE,41.94983,-87.698457,22.0,,,,,
2007-08-28,,T025,4900  W BALMORAL AVE,41.979243,-87.750938,21.0,,,,,
2007-09-04,,T028,5800  N WESTERN AVE,41.986921,-87.689778,37.0,,,,,
2007-09-05,,T031,5000  S CENTRAL AVE,41.801498,-87.763416,27.0,,,,,
2007-09-06,,T033,1400  N HUMBOLDT DR,41.906638,-87.701431,13.0,,,,,
2007-09-12,,T089,1000  S VINCENNES,41.723195,-87.64997,39.0,,,,,
2007-09-18,,T090,1100  S ASHLAND AVE,41.868077,-87.666901,29.0,,,,,
2007-09-19,,T092,1100  S STATE ST,41.869216,-87.627561,15.0,,,,,
2007-09-24,,T135,4200  W 127TH PL,41.662014,-87.724608,17.0,,,,,
2007-09-25,,T141,5300  W AGATITE AVE,41.961743,-87.76007,34.0,,,,,
2007-10-04,,T142,4000  N AUSTIN AVE,41.953067,-87.776792,26.0,,,,,
2007-10-09,,T145,4300  N ASHLAND AVE OVERPASS,41.878114,-87.629798,32.0,,,,,
2009-05-28,,T146,4200  N RICHMOND ST,41.958271,-87.702575,47.0,,,,,
2009-06-02,,T147,2800  N FRANCISCO AVE,41.932094,-87.700117,44.0,,,,,
2009-06-03,,T149,1500  W GRANVILLE AVE,41.994469,-87.667736,23.0,,,,,
2009-06-05,,T150,1800  W FARWELL AVE,42.006858,-87.675919,46.0,,,,,
2009-06-12,,T151,7000   W ARMITAGE AVENUE,41.916265,-87.800515,48.0,,,,,
2009-06-15,,T152,2500  S MILLARD AVE,41.846075,-87.716277,42.0,,,,,
2009-06-19,,T154,2100  N LAWLER AVE,41.918705,-87.752329,33.0,,,,,
2009-06-22,,T158,3500  W 116TH ST,41.682587,-87.707973,45.0,,,,,
2009-06-26,,T162,9300  S DR MARTIN LUTHER KING JR DR,41.725517,-87.614258,24.0,,,,,
2009-06-29,,T218,3700  N KEDVALE AVE,41.948167,-87.730698,41.0,,,,,
2009-07-06,,T220,4500  N CAMPBELL AVE,41.963976,-87.69181,38.0,,,,,
2009-07-10,,T001,4000  N TRIPP AVE,41.953705,-87.733974,40.0,,,,,
2009-07-13,,T003,4600  N MILWAUKEE AVE,41.964242,-87.757639,36.0,,,,,
2009-07-17,,T006,6000  N AVONDALE AVE,41.990284,-87.797127,43.0,,,,,
2009-07-24,,T008,7000  N MOSELL AVE,42.008314,-87.777921,49.0,,,,,
2009-07-27,,T012,6100  N LEMONT AVE,41.991429,-87.747113,30.0,,,,,
2009-07-31,,T034,2700  S WESTERN AVE,41.843811,-87.686763,31.0,,,,,
2009-08-07,,T037,6800  W BELDEN AVE,41.921177,-87.79518,,,,,,
2009-08-13,,T040,2100  S HAMLIN AVE,41.852652,-87.719887,,,,,,
2009-08-25,,T043,3000  W 18TH ST,41.857402,-87.694991,,,,,,
2009-08-27,,T047,1100  S CALIFORNIA,41.868142,-87.696269,,,,,,
2009-09-03,,T051,2500  S THROOP,41.846283,-87.656913,,,,,,
2009-09-14,,T085,1000  W 95TH ST,41.721474,-87.648064,,,,,,
2009-09-17,,T088,1000  S CALIFORNIA AVE,41.869107,-87.696293,,,,,,
2009-09-25,,T161,9600  S HOYNE AVE,41.719059,-87.675088,,,,,,
2009-10-01,,T219,1800  W LELAND AVE,41.966987,-87.674677,,,,,,
2011-06-10,,T013,6100  W FULLERTON AVE,41.923738,-87.785288,,,,,,
2011-06-17,,T014,6400  W STRONG ST,41.970248,-87.787992,,,,,,
2011-06-24,,T018,1200  W GREENLEAF AVE,42.010412,-87.66214,,,,,,
2011-06-30,,T030,1000  N CENTRAL PARK DR,41.89923,-87.716788,,,,,,
2011-07-11,,T084,2000  E 111TH ST,41.692555,-87.598865,,,,,,
2011-07-15,,T144,3300  N RUTHERFORD AVE,41.94016,-87.794896,,,,,,
2011-07-25,,T160,1100  S ARTESIAN AVE,41.903002,-87.688267,,,,,,
2011-07-29,,T005,6000  W ROSCOE ST,41.942114,-87.776385,,,,,,
2011-08-05,,T017,6000  W MONTROSE DR,41.960616,-87.777189,,,,,,
2011-08-12,,T044,3300  E RANDOLPH ST,41.883284,-87.705085,,,,,,
2011-08-19,,T095,3300  W 104TH ST,41.704336,-87.703736,,,,,,
2011-08-26,,T004,4900  W SUNNYSIDE AVE,41.962728,-87.748367,,,,,,
2011-09-01,,T035,3000  S HOYNE AVE,41.836644,-87.677737,,,,,,
2011-09-02,,T036,4200  W 31ST ST,41.837085,-87.729384,,,,,,
2011-09-12,,T039,1700  N PULASKI RD,41.911824,-87.726737,,,,,,
2011-09-16,,T060,2200  W PERSHING RD,41.823065,-87.678378,,,,,,
2011-09-23,,T061,2200  W 51ST ST,41.801179,-87.679447,,,,,,
2011-09-30,,T062,3500  W 51ST ST,41.800737,-87.71188,,,,,,
2013-06-07,,T065,5200  W 63RD ST,41.778297,-87.752411,,,,,,
2013-06-14,,T066,6700  S KEDZIE AVE,41.77166,-87.703047,,,,,,
2013-06-21,,T067,7300  S CICERO AVE,41.759346,-87.745602,,,,,,
2013-06-27,,T069,2200  W 69TH ST,41.768388,-87.678649,,,,,,
2013-06-28,,T070,5200  S NORDICA,41.797616,-87.797894,,,,,,
2013-07-08,,T071,6100  S MELVINA AVE,41.781416,-87.776532,,,,,,
2013-07-12,,T073,1000  E 67TH ST,41.773215,-87.60088,,,,,,
2013-07-19,,T074,3900  S ASHLAND AVE,41.822536,-87.666343,,,,,,
2013-07-25,,T075,4700  S CORNELL AVE,41.799282,-87.585487,,,,,,
2013-08-01,,T076,5500  S DR MARTIN LUTHER KING JR DR,41.794781,-87.615989,,,,,,
2013-08-08,,T077,6400  S STONY ISLAND AVE,41.778748,-87.586427,,,,,,
2013-08-15,,T079,7100  S SOUTH SHORE DR,41.766202,-87.562889,,,,,,
2013-08-22,,T080,7700  S EBERHART AVE,41.754676,-87.612922,,,,,,
2013-08-29,,T081,4000  S DEARBORN ST,41.821582,-87.627796,,,,,,
2013-09-06,,T082,5000  S UNION AVE,41.803423,-87.642984,,,,,,
2013-09-12,,T083,7900  S CHICAGO AVE,41.754292,-87.590773,,,,,,
2013-09-19,,T114,5200  S KOLMAR,41.798697,-87.736812,,,,,,
2013-09-26,,T155,6300  W 64TH ST,41.776156,-87.778927,,,,,,
,,T063,3700  S PULASKI RD,41.82561,-87.726549,,,,,,
,,T115,1200  S DOTY AVE,41.673408,-87.599862,,,,,,
,,T138,1000  S STONY ISLAND AVE,41.726465,-87.585413,,,,,,
,,T200,1300  S TORRENCE AVE,41.678618,-87.559308,,,,,,
,,T206,1300  S MACKINAW,41.737052,-87.543067,,,,,,
,,T209,1300  S BRANDON,41.740641,-87.546587,,,,,,
,,T212,3700  E 118TH ST,41.680946,-87.535198,,,,,,
,,T215,3800  E 115TH ST,41.686398,-87.531635,,,,,,
,,T107,8100  E 91ST ST,41.729669,-87.582699,,,,,,
,,T128,2400  E 105TH ST,41.704572,-87.565666,,,,,,
,,T072,8000  S KEDZIE AVE,41.74785,-87.702716,,,,,,
,,T078,6500  S RACINE AVE,41.775051,-87.655356,,,,,,
,,T097,8200  E 138TH ST,41.644612,-87.604498,,,,,,
,,T099,8900  S MUSKEGON AVE,41.733643,-87.55551,,,,,,
,,T100,9800  S AVENUE G,41.717753,-87.531657,,,,,,
,,T102,1000  S COTTAGE GROVE,41.750498,-87.605294,,,,,,
,,T103,1100  S AVENUE L,41.702724,-87.536497,,,,,,
,,T027,5800  N PULASKI RD,41.984809,-87.728492,,,,,,
,,T156,6600  S KILPATRICK AVE,41.772846,-87.740029,,,,,,
,,T157,8100  W 37TH PL.,41.825902,-87.667827,,,,,,
,,T221,4000  E 130TH ST,41.659112,-87.538693,,,,,,
,,T900,9100  W HIGGINS RD,41.992478,-87.862995,,,,,,
,,T903,1000  W OHARE AIRPORT,41.974689,-87.890615,,,,,,
,,T222,1000  W OHARE,41.957799,-87.930995,,,,,,
,,T223,4800  W MONTANA ST,41.925198,-87.746381,,,,,,
,,T225,5100  N MONT CLARE AVE,41.973845,-87.805059,,,,,,
,,T227,8200  S KOSTNER AVE,41.743402,-87.731435,,,,,,
,,T224,6500  E 91ST PL,41.728495,-87.600963,,,,,,
,,T226,1700  W ADDISON ST,41.947227,-87.671457,,,,,,
,,T229,9000  W GARFIELD BLVD,41.793818,-87.654234,,,,,,
,,T230,1100  S WALLACE ST,41.753411,-87.639817,,,,,,
